cheque_number,account_number,status,payee_name,amount_limit
000300,9000010003,ISSUED,Harbor Trading Co,500000.0
000301,9000010003,ISSUED,Omar Novak,500000.0
000302,9000010003,ISSUED,Omar Novak,500000.0
000303,9000010003,ISSUED,Foundry Systems,500000.0
000304,9000010003,ISSUED,Summit Supplies,500000.0
000305,9000010003,ISSUED,Foundry Systems,500000.0
000306,9000010003,ISSUED,Foundry Systems,500000.0
000307,9000010003,ISSUED,Summit Supplies,500000.0
000308,9000010003,ISSUED,Omar Novak,500000.0
000309,9000010003,ISSUED,Foundry Systems,500000.0
000310,9000010003,ISSUED,Foundry Systems,500000.0
000311,9000010003,ISSUED,Summit Supplies,500000.0
000312,9000010003,ISSUED,Foundry Systems,500000.0
000313,9000010003,ISSUED,Omar Novak,500000.0
000314,9000010003,ISSUED,Summit Supplies,500000.0
000315,9000010003,ISSUED,Omar Novak,500000.0
000316,9000010003,ISSUED,Summit Supplies,500000.0
000317,9000010003,ISSUED,Harbor Trading Co,500000.0
000318,9000010003,ISSUED,Foundry Systems,500000.0
000319,9000010003,ISSUED,Summit Supplies,500000.0
000320,9000010003,ISSUED,Harbor Trading Co,500000.0
000321,9000010003,ISSUED,Foundry Systems,500000.0
000322,9000010003,ISSUED,Summit Supplies,500000.0
000323,9000010003,ISSUED,Foundry Systems,500000.0
000324,9000010003,ISSUED,Omar Novak,500000.0
000325,9000010003,ISSUED,Omar Novak,500000.0
000326,9000010003,ISSUED,Foundry Systems,500000.0
000327,9000010003,ISSUED,Summit Supplies,500000.0
000328,9000010003,ISSUED,Omar Novak,500000.0
000329,9000010003,ISSUED,Summit Supplies,500000.0
000330,9000010003,ISSUED,Summit Supplies,500000.0
000331,9000010003,ISSUED,Foundry Systems,500000.0
000332,9000010003,ISSUED,Foundry Systems,500000.0
000333,9000010003,ISSUED,Harbor Trading Co,500000.0
000334,9000010003,ISSUED,Foundry Systems,500000.0
000335,9000010003,ISSUED,Foundry Systems,500000.0
000336,9000010003,ISSUED,Summit Supplies,500000.0
000337,9000010003,ISSUED,Harbor Trading Co,500000.0
000338,9000010003,ISSUED,Omar Novak,500000.0
000339,9000010003,ISSUED,Harbor Trading Co,500000.0
000340,9000010003,ISSUED,Harbor Trading Co,500000.0
000341,9000010003,ISSUED,Summit Supplies,500000.0
000342,9000010003,ISSUED,Foundry Systems,500000.0
000343,9000010003,ISSUED,Summit Supplies,500000.0
000344,9000010003,ISSUED,Foundry Systems,500000.0
000345,9000010003,ISSUED,Harbor Trading Co,500000.0
000346,9000010003,ISSUED,Harbor Trading Co,500000.0
000347,9000010003,ISSUED,Summit Supplies,500000.0
000348,9000010003,ISSUED,Foundry Systems,500000.0
000349,9000010003,ISSUED,Harbor Trading Co,500000.0
000400,9000010004,ISSUED,Diego Okafor,500000.0
000401,9000010004,ISSUED,Dara Reyes,500000.0
000402,9000010004,ISSUED,Dara Reyes,500000.0
000403,9000010004,ISSUED,Dara Reyes,500000.0
000404,9000010004,ISSUED,Willow Traders,500000.0
000405,9000010004,ISSUED,Harbor Services,500000.0
000406,9000010004,ISSUED,Dara Reyes,500000.0
000407,9000010004,ISSUED,Harbor Services,500000.0
000408,9000010004,ISSUED,Harbor Services,500000.0
000409,9000010004,ISSUED,Willow Traders,500000.0
000410,9000010004,ISSUED,Willow Traders,500000.0
000411,9000010004,ISSUED,Dara Reyes,500000.0
000412,9000010004,ISSUED,Diego Okafor,500000.0
000413,9000010004,ISSUED,Diego Okafor,500000.0
000414,9000010004,ISSUED,Dara Reyes,500000.0
000415,9000010004,ISSUED,Harbor Services,500000.0
000416,9000010004,ISSUED,Willow Traders,500000.0
000417,9000010004,ISSUED,Willow Traders,500000.0
000418,9000010004,ISSUED,Diego Okafor,500000.0
000419,9000010004,ISSUED,Harbor Services,500000.0
000420,9000010004,ISSUED,Dara Reyes,500000.0
000421,9000010004,ISSUED,Diego Okafor,500000.0
000422,9000010004,ISSUED,Willow Traders,500000.0
000423,9000010004,ISSUED,Harbor Services,500000.0
000424,9000010004,ISSUED,Willow Traders,500000.0
000425,9000010004,ISSUED,Willow Traders,500000.0
000426,9000010004,ISSUED,Willow Traders,500000.0
000427,9000010004,ISSUED,Dara Reyes,500000.0
000428,9000010004,ISSUED,Dara Reyes,500000.0
000429,9000010004,ISSUED,Dara Reyes,500000.0
000430,9000010004,ISSUED,Harbor Services,500000.0
000431,9000010004,ISSUED,Dara Reyes,500000.0
000432,9000010004,ISSUED,Willow Traders,500000.0
000433,9000010004,ISSUED,Diego Okafor,500000.0
000434,9000010004,ISSUED,Diego Okafor,500000.0
000435,9000010004,ISSUED,Dara Reyes,500000.0
000436,9000010004,ISSUED,Diego Okafor,500000.0
000437,9000010004,ISSUED,Willow Traders,500000.0
000438,9000010004,ISSUED,Harbor Services,500000.0
000439,9000010004,ISSUED,Diego Okafor,500000.0
000440,9000010004,ISSUED,Dara Reyes,500000.0
000441,9000010004,ISSUED,Harbor Services,500000.0
000442,9000010004,ISSUED,Willow Traders,500000.0
000443,9000010004,ISSUED,Willow Traders,500000.0
000444,9000010004,ISSUED,Willow Traders,500000.0
000445,9000010004,ISSUED,Willow Traders,500000.0
000446,9000010004,ISSUED,Diego Okafor,500000.0
000447,9000010004,ISSUED,Harbor Services,500000.0
000448,9000010004,ISSUED,Harbor Services,500000.0
000449,9000010004,ISSUED,Dara Reyes,500000.0
000500,9000010005,ISSUED,Foundry Supplies,500000.0
000501,9000010005,ISSUED,Maple Supplies,500000.0
000502,9000010005,ISSUED,Fatima Petrov,500000.0
000503,9000010005,ISSUED,Foundry Supplies,500000.0
000504,9000010005,ISSUED,Foundry Supplies,500000.0
000505,9000010005,ISSUED,Foundry Supplies,500000.0
000506,9000010005,ISSUED,Foundry Supplies,500000.0
000507,9000010005,ISSUED,Foundry Supplies,500000.0
000508,9000010005,ISSUED,Willow Systems,500000.0
000509,9000010005,ISSUED,Foundry Supplies,500000.0
000510,9000010005,ISSUED,Willow Systems,500000.0
000511,9000010005,ISSUED,Maple Supplies,500000.0
000512,9000010005,ISSUED,Foundry Supplies,500000.0
000513,9000010005,ISSUED,Willow Systems,500000.0
000514,9000010005,ISSUED,Foundry Supplies,500000.0
000515,9000010005,ISSUED,Willow Systems,500000.0
000516,9000010005,ISSUED,Maple Supplies,500000.0
000517,9000010005,ISSUED,Foundry Supplies,500000.0
000518,9000010005,ISSUED,Willow Systems,500000.0
000519,9000010005,ISSUED,Foundry Supplies,500000.0
000520,9000010005,ISSUED,Fatima Petrov,500000.0
000521,9000010005,ISSUED,Foundry Supplies,500000.0
000522,9000010005,ISSUED,Foundry Supplies,500000.0
000523,9000010005,ISSUED,Willow Systems,500000.0
000524,9000010005,ISSUED,Foundry Supplies,500000.0
000525,9000010005,ISSUED,Foundry Supplies,500000.0
000526,9000010005,ISSUED,Willow Systems,500000.0
000527,9000010005,ISSUED,Foundry Supplies,500000.0
000528,9000010005,ISSUED,Willow Systems,500000.0
000529,9000010005,ISSUED,Foundry Supplies,500000.0
000530,9000010005,ISSUED,Fatima Petrov,500000.0
000531,9000010005,ISSUED,Maple Supplies,500000.0
000532,9000010005,ISSUED,Maple Supplies,500000.0
000533,9000010005,ISSUED,Fatima Petrov,500000.0
000534,9000010005,ISSUED,Fatima Petrov,500000.0
000535,9000010005,ISSUED,Foundry Supplies,500000.0
000536,9000010005,ISSUED,Maple Supplies,500000.0
000537,9000010005,ISSUED,Willow Systems,500000.0
000538,9000010005,ISSUED,Foundry Supplies,500000.0
000539,9000010005,ISSUED,Willow Systems,500000.0
000540,9000010005,ISSUED,Foundry Supplies,500000.0
000541,9000010005,ISSUED,Foundry Supplies,500000.0
000542,9000010005,ISSUED,Maple Supplies,500000.0
000543,9000010005,ISSUED,Fatima Petrov,500000.0
000544,9000010005,ISSUED,Maple Supplies,500000.0
000545,9000010005,ISSUED,Foundry Supplies,500000.0
000546,9000010005,ISSUED,Fatima Petrov,500000.0
000547,9000010005,ISSUED,Willow Systems,500000.0
000548,9000010005,ISSUED,Maple Supplies,500000.0
000549,9000010005,ISSUED,Willow Systems,500000.0
000600,9000010006,ISSUED,Beacon Partners,500000.0
000601,9000010006,ISSUED,Cedar Imports,500000.0
000602,9000010006,ISSUED,Foundry Supplies,500000.0
000603,9000010006,ISSUED,Bluepeak Distributors,500000.0
000604,9000010006,ISSUED,Beacon Partners,500000.0
000605,9000010006,ISSUED,Cedar Imports,500000.0
000606,9000010006,ISSUED,Foundry Supplies,500000.0
000607,9000010006,ISSUED,Cedar Imports,500000.0
000608,9000010006,ISSUED,Beacon Partners,500000.0
000609,9000010006,ISSUED,Bluepeak Distributors,500000.0
000610,9000010006,ISSUED,Beacon Partners,500000.0
000611,9000010006,ISSUED,Beacon Partners,500000.0
000612,9000010006,ISSUED,Bluepeak Distributors,500000.0
000613,9000010006,ISSUED,Beacon Partners,500000.0
000614,9000010006,ISSUED,Bluepeak Distributors,500000.0
000615,9000010006,ISSUED,Bluepeak Distributors,500000.0
000616,9000010006,ISSUED,Cedar Imports,500000.0
000617,9000010006,ISSUED,Foundry Supplies,500000.0
000618,9000010006,ISSUED,Cedar Imports,500000.0
000619,9000010006,ISSUED,Foundry Supplies,500000.0
000620,9000010006,ISSUED,Bluepeak Distributors,500000.0
000621,9000010006,ISSUED,Beacon Partners,500000.0
000622,9000010006,ISSUED,Foundry Supplies,500000.0
000623,9000010006,ISSUED,Foundry Supplies,500000.0
000624,9000010006,ISSUED,Bluepeak Distributors,500000.0
000625,9000010006,ISSUED,Beacon Partners,500000.0
000626,9000010006,ISSUED,Cedar Imports,500000.0
000627,9000010006,ISSUED,Foundry Supplies,500000.0
000628,9000010006,ISSUED,Cedar Imports,500000.0
000629,9000010006,ISSUED,Bluepeak Distributors,500000.0
000630,9000010006,ISSUED,Cedar Imports,500000.0
000631,9000010006,ISSUED,Beacon Partners,500000.0
000632,9000010006,ISSUED,Cedar Imports,500000.0
000633,9000010006,ISSUED,Cedar Imports,500000.0
000634,9000010006,ISSUED,Foundry Supplies,500000.0
000635,9000010006,ISSUED,Cedar Imports,500000.0
000636,9000010006,ISSUED,Bluepeak Distributors,500000.0
000637,9000010006,ISSUED,Cedar Imports,500000.0
000638,9000010006,ISSUED,Cedar Imports,500000.0
000639,9000010006,ISSUED,Beacon Partners,500000.0
000640,9000010006,ISSUED,Bluepeak Distributors,500000.0
000641,9000010006,ISSUED,Bluepeak Distributors,500000.0
000642,9000010006,ISSUED,Foundry Supplies,500000.0
000643,9000010006,ISSUED,Cedar Imports,500000.0
000644,9000010006,ISSUED,Bluepeak Distributors,500000.0
000645,9000010006,ISSUED,Bluepeak Distributors,500000.0
000646,9000010006,ISSUED,Beacon Partners,500000.0
000647,9000010006,ISSUED,Bluepeak Distributors,500000.0
000648,9000010006,ISSUED,Foundry Supplies,500000.0
000649,9000010006,ISSUED,Bluepeak Distributors,500000.0
000700,9000010007,ISSUED,Harbor Services,500000.0
000701,9000010007,ISSUED,Summit Supplies,500000.0
000702,9000010007,ISSUED,Willow Traders,500000.0
000703,9000010007,ISSUED,Summit Supplies,500000.0
000704,9000010007,ISSUED,Willow Traders,500000.0
000705,9000010007,ISSUED,Harbor Services,500000.0
000706,9000010007,ISSUED,Harbor Services,500000.0
000707,9000010007,ISSUED,Foundry Supplies,500000.0
000708,9000010007,ISSUED,Summit Supplies,500000.0
000709,9000010007,ISSUED,Summit Supplies,500000.0
000710,9000010007,ISSUED,Summit Supplies,500000.0
000711,9000010007,ISSUED,Willow Traders,500000.0
000712,9000010007,ISSUED,Willow Traders,500000.0
000713,9000010007,ISSUED,Summit Supplies,500000.0
000714,9000010007,ISSUED,Summit Supplies,500000.0
000715,9000010007,ISSUED,Harbor Services,500000.0
000716,9000010007,ISSUED,Foundry Supplies,500000.0
000717,9000010007,ISSUED,Foundry Supplies,500000.0
000718,9000010007,ISSUED,Willow Traders,500000.0
000719,9000010007,ISSUED,Foundry Supplies,500000.0
000720,9000010007,ISSUED,Summit Supplies,500000.0
000721,9000010007,ISSUED,Willow Traders,500000.0
000722,9000010007,ISSUED,Willow Traders,500000.0
000723,9000010007,ISSUED,Willow Traders,500000.0
000724,9000010007,ISSUED,Harbor Services,500000.0
000725,9000010007,ISSUED,Summit Supplies,500000.0
000726,9000010007,ISSUED,Harbor Services,500000.0
000727,9000010007,ISSUED,Harbor Services,500000.0
000728,9000010007,ISSUED,Willow Traders,500000.0
000729,9000010007,ISSUED,Foundry Supplies,500000.0
000730,9000010007,ISSUED,Foundry Supplies,500000.0
000731,9000010007,ISSUED,Willow Traders,500000.0
000732,9000010007,ISSUED,Harbor Services,500000.0
000733,9000010007,ISSUED,Harbor Services,500000.0
000734,9000010007,ISSUED,Willow Traders,500000.0
000735,9000010007,ISSUED,Willow Traders,500000.0
000736,9000010007,ISSUED,Foundry Supplies,500000.0
000737,9000010007,ISSUED,Summit Supplies,500000.0
000738,9000010007,ISSUED,Foundry Supplies,500000.0
000739,9000010007,ISSUED,Harbor Services,500000.0
000740,9000010007,ISSUED,Foundry Supplies,500000.0
000741,9000010007,ISSUED,Summit Supplies,500000.0
000742,9000010007,ISSUED,Harbor Services,500000.0
000743,9000010007,ISSUED,Willow Traders,500000.0
000744,9000010007,ISSUED,Harbor Services,500000.0
000745,9000010007,ISSUED,Foundry Supplies,500000.0
000746,9000010007,ISSUED,Harbor Services,500000.0
000747,9000010007,ISSUED,Summit Supplies,500000.0
000748,9000010007,ISSUED,Summit Supplies,500000.0
000749,9000010007,ISSUED,Willow Traders,500000.0
000800,9000010008,ISSUED,Grace Rossi,500000.0
000801,9000010008,ISSUED,Harbor Services,500000.0
000802,9000010008,ISSUED,Bluepeak Distributors,500000.0
000803,9000010008,ISSUED,Bluepeak Distributors,500000.0
000804,9000010008,ISSUED,Bluepeak Distributors,500000.0
000805,9000010008,ISSUED,Bluepeak Distributors,500000.0
000806,9000010008,ISSUED,Harbor Services,500000.0
000807,9000010008,ISSUED,Harbor Services,500000.0
000808,9000010008,ISSUED,Harbor Services,500000.0
000809,9000010008,ISSUED,Grace Rossi,500000.0
000810,9000010008,ISSUED,Bluepeak Distributors,500000.0
000811,9000010008,ISSUED,Harbor Services,500000.0
000812,9000010008,ISSUED,Grace Rossi,500000.0
000813,9000010008,ISSUED,Fatima Petrov,500000.0
000814,9000010008,ISSUED,Grace Rossi,500000.0
000815,9000010008,ISSUED,Bluepeak Distributors,500000.0
000816,9000010008,ISSUED,Bluepeak Distributors,500000.0
000817,9000010008,ISSUED,Fatima Petrov,500000.0
000818,9000010008,ISSUED,Bluepeak Distributors,500000.0
000819,9000010008,ISSUED,Bluepeak Distributors,500000.0
000820,9000010008,ISSUED,Grace Rossi,500000.0
000821,9000010008,ISSUED,Grace Rossi,500000.0
000822,9000010008,ISSUED,Bluepeak Distributors,500000.0
000823,9000010008,ISSUED,Grace Rossi,500000.0
000824,9000010008,ISSUED,Grace Rossi,500000.0
000825,9000010008,ISSUED,Grace Rossi,500000.0
000826,9000010008,ISSUED,Bluepeak Distributors,500000.0
000827,9000010008,ISSUED,Fatima Petrov,500000.0
000828,9000010008,ISSUED,Bluepeak Distributors,500000.0
000829,9000010008,ISSUED,Grace Rossi,500000.0
000830,9000010008,ISSUED,Fatima Petrov,500000.0
000831,9000010008,ISSUED,Fatima Petrov,500000.0
000832,9000010008,ISSUED,Bluepeak Distributors,500000.0
000833,9000010008,ISSUED,Grace Rossi,500000.0
000834,9000010008,ISSUED,Harbor Services,500000.0
000835,9000010008,ISSUED,Bluepeak Distributors,500000.0
000836,9000010008,ISSUED,Harbor Services,500000.0
000837,9000010008,ISSUED,Fatima Petrov,500000.0
000838,9000010008,ISSUED,Fatima Petrov,500000.0
000839,9000010008,ISSUED,Grace Rossi,500000.0
000840,9000010008,ISSUED,Bluepeak Distributors,500000.0
000841,9000010008,ISSUED,Grace Rossi,500000.0
000842,9000010008,ISSUED,Harbor Services,500000.0
000843,9000010008,ISSUED,Harbor Services,500000.0
000844,9000010008,ISSUED,Harbor Services,500000.0
000845,9000010008,ISSUED,Harbor Services,500000.0
000846,9000010008,ISSUED,Fatima Petrov,500000.0
000847,9000010008,ISSUED,Bluepeak Distributors,500000.0
000848,9000010008,ISSUED,Bluepeak Distributors,500000.0
000849,9000010008,ISSUED,Harbor Services,500000.0
000900,9000010009,ISSUED,Beacon Partners,500000.0
000901,9000010009,ISSUED,Diego Okafor,500000.0
000902,9000010009,ISSUED,Diego Okafor,500000.0
000903,9000010009,ISSUED,Kwame Silva,500000.0
000904,9000010009,ISSUED,Beacon Partners,500000.0
000905,9000010009,ISSUED,Kwame Silva,500000.0
000906,9000010009,ISSUED,Beacon Partners,500000.0
000907,9000010009,ISSUED,Maple Supplies,500000.0
000908,9000010009,ISSUED,Maple Supplies,500000.0
000909,9000010009,ISSUED,Diego Okafor,500000.0
000910,9000010009,STOPPED,Beacon Partners,500000.0
000911,9000010009,ISSUED,Kwame Silva,500000.0
000912,9000010009,ISSUED,Maple Supplies,500000.0
000913,9000010009,ISSUED,Diego Okafor,500000.0
000914,9000010009,ISSUED,Kwame Silva,500000.0
000915,9000010009,ISSUED,Diego Okafor,500000.0
000916,9000010009,ISSUED,Maple Supplies,500000.0
000917,9000010009,ISSUED,Kwame Silva,500000.0
000918,9000010009,ISSUED,Diego Okafor,500000.0
000919,9000010009,ISSUED,Kwame Silva,500000.0
000920,9000010009,ISSUED,Beacon Partners,500000.0
000921,9000010009,ISSUED,Beacon Partners,500000.0
000922,9000010009,ISSUED,Beacon Partners,500000.0
000923,9000010009,ISSUED,Kwame Silva,500000.0
000924,9000010009,ISSUED,Kwame Silva,500000.0
000925,9000010009,ISSUED,Beacon Partners,500000.0
000926,9000010009,ISSUED,Beacon Partners,500000.0
000927,9000010009,ISSUED,Diego Okafor,500000.0
000928,9000010009,ISSUED,Maple Supplies,500000.0
000929,9000010009,ISSUED,Diego Okafor,500000.0
000930,9000010009,ISSUED,Diego Okafor,500000.0
000931,9000010009,ISSUED,Kwame Silva,500000.0
000932,9000010009,ISSUED,Maple Supplies,500000.0
000933,9000010009,ISSUED,Diego Okafor,500000.0
000934,9000010009,ISSUED,Kwame Silva,500000.0
000935,9000010009,ISSUED,Beacon Partners,500000.0
000936,9000010009,ISSUED,Beacon Partners,500000.0
000937,9000010009,ISSUED,Kwame Silva,500000.0
000938,9000010009,ISSUED,Diego Okafor,500000.0
000939,9000010009,ISSUED,Kwame Silva,500000.0
000940,9000010009,ISSUED,Diego Okafor,500000.0
000941,9000010009,ISSUED,Maple Supplies,500000.0
000942,9000010009,ISSUED,Kwame Silva,500000.0
000943,9000010009,ISSUED,Kwame Silva,500000.0
000944,9000010009,ISSUED,Kwame Silva,500000.0
000945,9000010009,ISSUED,Diego Okafor,500000.0
000946,9000010009,ISSUED,Kwame Silva,500000.0
000947,9000010009,ISSUED,Kwame Silva,500000.0
000948,9000010009,ISSUED,Kwame Silva,500000.0
000949,9000010009,ISSUED,Maple Supplies,500000.0
001000,9000010010,ISSUED,Foundry Systems,500000.0
001001,9000010010,ISSUED,Foundry Systems,500000.0
001002,9000010010,ISSUED,Sofia Ahmed,500000.0
001003,9000010010,ISSUED,Sofia Ahmed,500000.0
001004,9000010010,ISSUED,Ironwood Holdings,500000.0
001005,9000010010,ISSUED,Foundry Systems,500000.0
001006,9000010010,ISSUED,Sofia Ahmed,500000.0
001007,9000010010,ISSUED,Willow Traders,500000.0
001008,9000010010,ISSUED,Ironwood Holdings,500000.0
001009,9000010010,ISSUED,Willow Traders,500000.0
001010,9000010010,ISSUED,Sofia Ahmed,500000.0
001011,9000010010,ISSUED,Sofia Ahmed,500000.0
001012,9000010010,ISSUED,Foundry Systems,500000.0
001013,9000010010,ISSUED,Willow Traders,500000.0
001014,9000010010,ISSUED,Ironwood Holdings,500000.0
001015,9000010010,ISSUED,Willow Traders,500000.0
001016,9000010010,ISSUED,Foundry Systems,500000.0
001017,9000010010,ISSUED,Sofia Ahmed,500000.0
001018,9000010010,ISSUED,Ironwood Holdings,500000.0
001019,9000010010,ISSUED,Sofia Ahmed,500000.0
001020,9000010010,ISSUED,Sofia Ahmed,500000.0
001021,9000010010,ISSUED,Willow Traders,500000.0
001022,9000010010,ISSUED,Sofia Ahmed,500000.0
001023,9000010010,ISSUED,Willow Traders,500000.0
001024,9000010010,ISSUED,Sofia Ahmed,500000.0
001025,9000010010,ISSUED,Sofia Ahmed,500000.0
001026,9000010010,ISSUED,Ironwood Holdings,500000.0
001027,9000010010,ISSUED,Ironwood Holdings,500000.0
001028,9000010010,ISSUED,Foundry Systems,500000.0
001029,9000010010,ISSUED,Willow Traders,500000.0
001030,9000010010,ISSUED,Foundry Systems,500000.0
001031,9000010010,ISSUED,Sofia Ahmed,500000.0
001032,9000010010,ISSUED,Willow Traders,500000.0
001033,9000010010,ISSUED,Foundry Systems,500000.0
001034,9000010010,ISSUED,Foundry Systems,500000.0
001035,9000010010,ISSUED,Sofia Ahmed,500000.0
001036,9000010010,ISSUED,Willow Traders,500000.0
001037,9000010010,ISSUED,Sofia Ahmed,500000.0
001038,9000010010,ISSUED,Sofia Ahmed,500000.0
001039,9000010010,ISSUED,Willow Traders,500000.0
001040,9000010010,ISSUED,Sofia Ahmed,500000.0
001041,9000010010,ISSUED,Willow Traders,500000.0
001042,9000010010,ISSUED,Ironwood Holdings,500000.0
001043,9000010010,ISSUED,Foundry Systems,500000.0
001044,9000010010,ISSUED,Sofia Ahmed,500000.0
001045,9000010010,ISSUED,Willow Traders,500000.0
001046,9000010010,ISSUED,Willow Traders,500000.0
001047,9000010010,ISSUED,Willow Traders,500000.0
001048,9000010010,ISSUED,Ironwood Holdings,500000.0
001049,9000010010,ISSUED,Sofia Ahmed,500000.0
001100,9000010011,ISSUED,Kwame Johnson,500000.0
001101,9000010011,ISSUED,Kwame Silva,500000.0
001102,9000010011,ISSUED,Beacon Partners,500000.0
001103,9000010011,ISSUED,Beacon Partners,500000.0
001104,9000010011,ISSUED,Kwame Silva,500000.0
001105,9000010011,ISSUED,Kwame Silva,500000.0
001106,9000010011,ISSUED,Beacon Partners,500000.0
001107,9000010011,ISSUED,Beacon Partners,500000.0
001108,9000010011,ISSUED,Beacon Partners,500000.0
