transaction_id,account_number,transaction_date,transaction_type,amount,payee_name
TXN000033,9000010004,2026-07-14,CHEQUE,13539.76,Dara Reyes
TXN000032,9000010004,2026-07-18,CHEQUE,12976.31,Dara Reyes
TXN000029,9000010004,2026-08-03,CHEQUE,16099.08,Cedar Imports
TXN000035,9000010005,2026-06-08,CHEQUE,15740.96,Foundry Supplies
TXN000034,9000010005,2026-06-15,CHEQUE,16202.93,Bluepeak Distributors
TXN000045,9000010006,2026-03-30,CHEQUE,17108.14,Willow Holdings
TXN000040,9000010006,2026-04-16,CHEQUE,10739.04,Kwame Rossi
TXN000038,9000010006,2026-04-18,CHEQUE,16516.33,Kwame Rossi
TXN000037,9000010006,2026-04-29,CHEQUE,14150.64,Kwame Rossi
TXN000039,9000010006,2026-05-15,CHEQUE,13038.02,Kwame Rossi
TXN000036,9000010006,2026-05-18,CHEQUE,10907.77,Fatima Petrov
TXN000044,9000010006,2026-07-11,CHEQUE,12643.42,Fatima Petrov
TXN000042,9000010006,2026-07-15,CHEQUE,11594.25,Fatima Petrov
TXN000043,9000010006,2026-07-16,CHEQUE,9907.88,Kwame Rossi
TXN000041,9000010006,2026-07-23,CHEQUE,14480.4,Kwame Rossi
TXN000046,9000010006,2026-08-09,CHEQUE,10029.99,Kwame Rossi
TXN000051,9000010007,2026-04-17,CHEQUE,15522.15,Kwame Johnson
TXN000048,9000010007,2026-05-16,CHEQUE,14148.64,Harbor Services
TXN000053,9000010007,2026-06-06,CHEQUE,13718.78,Kwame Johnson
TXN000052,9000010007,2026-06-25,CHEQUE,14834.91,Harbor Services
TXN000050,9000010007,2026-08-03,CHEQUE,11288.25,Kwame Johnson
TXN000049,9000010007,2026-08-04,CHEQUE,11543.36,Harbor Services
TXN000047,9000010007,2026-08-09,CHEQUE,12627.26,Maple Supplies
TXN000055,9000010008,2026-03-31,CHEQUE,10812.93,Foundry Supplies
TXN000063,9000010008,2026-04-21,CHEQUE,8945.17,Foundry Supplies
TXN000058,9000010008,2026-05-11,CHEQUE,7745.66,Harbor Services
TXN000061,9000010008,2026-06-03,CHEQUE,9499.53,Foundry Supplies
TXN000060,9000010008,2026-06-08,CHEQUE,12759.25,Foundry Supplies
TXN000054,9000010008,2026-06-19,CHEQUE,12919.86,Foundry Supplies
TXN000064,9000010008,2026-06-20,CHEQUE,10192.59,Harbor Services
TXN000057,9000010008,2026-06-27,CHEQUE,12635.37,Harbor Services
TXN000056,9000010008,2026-07-19,CHEQUE,11770.91,Foundry Supplies
TXN000065,9000010008,2026-07-25,CHEQUE,10970.83,Foundry Supplies
TXN000059,9000010008,2026-07-29,CHEQUE,7847.32,Foundry Supplies
TXN000062,9000010008,2026-08-13,CHEQUE,12134.19,Foundry Supplies
TXN000068,9000010009,2026-05-30,CHEQUE,9881.71,Grace Rossi
TXN000070,9000010009,2026-06-03,CHEQUE,8721.78,Grace Rossi
TXN000067,9000010009,2026-06-08,CHEQUE,12840.97,Grace Rossi
TXN000066,9000010009,2026-07-25,CHEQUE,13581.74,Grace Rossi
TXN000071,9000010009,2026-08-11,CHEQUE,11963.92,Kwame Silva
TXN000069,9000010009,2026-08-13,CHEQUE,11566.66,Dara Reyes
TXN000073,9000010010,2026-06-06,CHEQUE,8886.62,Harbor Trading Co
TXN000074,9000010010,2026-07-18,CHEQUE,7911.19,Kwame Johnson
TXN000072,9000010010,2026-07-31,CHEQUE,12040.07,Harbor Trading Co
TXN000076,9000010011,2026-04-25,CHEQUE,5421.71,Bluepeak Distributors
TXN000075,9000010011,2026-05-06,CHEQUE,5595.62,Bluepeak Distributors
TXN000077,9000010011,2026-06-06,CHEQUE,4343.37,Omar Novak
TXN000081,9000010011,2026-06-26,CHEQUE,5303.23,Harbor Services
TXN000078,9000010011,2026-07-26,CHEQUE,6232.49,Harbor Services
TXN000080,9000010011,2026-08-18,CHEQUE,3862.99,Omar Novak
TXN000079,9000010011,2026-08-19,CHEQUE,5084.63,Harbor Services
TXN000083,9000010012,2026-04-03,CHEQUE,5794.34,Foundry Supplies
TXN000082,9000010012,2026-05-06,CHEQUE,3526.33,Foundry Supplies
TXN000084,9000010012,2026-05-30,CHEQUE,4808.75,Foundry Supplies
TXN000093,9000010013,2026-04-05,CHEQUE,3755.81,Harbor Services
TXN000086,9000010013,2026-04-26,CHEQUE,4121.55,Summit Supplies
TXN000090,9000010013,2026-05-28,CHEQUE,4661.0,Summit Supplies
TXN000094,9000010013,2026-06-07,CHEQUE,4598.08,Summit Supplies
TXN000091,9000010013,2026-06-12,CHEQUE,3237.58,Harbor Services
TXN000085,9000010013,2026-06-16,CHEQUE,3132.26,Summit Supplies
TXN000092,9000010013,2026-07-05,CHEQUE,4366.94,Summit Supplies
TXN000088,9000010013,2026-07-21,CHEQUE,3139.12,Harbor Services
TXN000087,9000010013,2026-07-22,CHEQUE,5318.03,Summit Supplies
TXN000089,9000010013,2026-08-06,CHEQUE,5788.36,Harbor Services
TXN000095,9000010014,2026-04-01,CHEQUE,10761.83,Diego Okafor
TXN000102,9000010014,2026-04-06,CHEQUE,10294.92,Willow Holdings
TXN000096,9000010014,2026-04-10,CHEQUE,11335.0,Willow Holdings
TXN000101,9000010014,2026-04-12,CHEQUE,9443.5,Diego Okafor
TXN000097,9000010014,2026-06-06,CHEQUE,13839.42,Sofia Ahmed
TXN000099,9000010014,2026-06-12,CHEQUE,15100.26,Willow Holdings
TXN000098,9000010014,2026-06-20,CHEQUE,11286.74,Willow Holdings
TXN000100,9000010014,2026-06-23,CHEQUE,11264.69,Diego Okafor
TXN000109,9000010015,2026-04-08,CHEQUE,10569.18,Sanjay Garcia
TXN000105,9000010015,2026-06-17,CHEQUE,14407.69,Sanjay Garcia
TXN000108,9000010015,2026-06-21,CHEQUE,12079.88,Sanjay Garcia
TXN000106,9000010015,2026-06-29,CHEQUE,14361.81,Sanjay Garcia
TXN000104,9000010015,2026-07-01,CHEQUE,10511.66,Kwame Johnson
TXN000107,9000010015,2026-07-09,CHEQUE,14023.11,Willow Traders
TXN000103,9000010015,2026-07-10,CHEQUE,11892.55,Kwame Johnson
TXN000116,9000010016,2026-03-31,CHEQUE,17008.85,Willow Traders
TXN000110,9000010016,2026-04-30,CHEQUE,16795.42,Willow Traders
TXN000111,9000010016,2026-05-22,CHEQUE,14566.27,Cedar Imports
TXN000112,9000010016,2026-06-13,CHEQUE,13312.86,Cedar Imports
TXN000113,9000010016,2026-06-19,CHEQUE,20262.39,Willow Traders
TXN000115,9000010016,2026-06-29,CHEQUE,14127.06,Cedar Imports
TXN000114,9000010016,2026-07-29,CHEQUE,17536.39,Willow Traders
TXN000123,9000010017,2026-04-14,CHEQUE,16673.47,Willow Holdings
TXN000124,9000010017,2026-05-03,CHEQUE,19531.52,Willow Holdings
TXN000118,9000010017,2026-06-11,CHEQUE,13744.22,Dara Reyes
TXN000120,9000010017,2026-06-19,CHEQUE,16687.37,Dara Reyes
TXN000119,9000010017,2026-06-20,CHEQUE,20291.21,Dara Reyes
TXN000121,9000010017,2026-07-09,CHEQUE,15777.91,Dara Reyes
TXN000117,9000010017,2026-07-10,CHEQUE,13376.88,Dara Reyes
TXN000122,9000010017,2026-08-05,CHEQUE,21706.67,Willow Traders
TXN000127,9000010018,2026-04-05,CHEQUE,7652.93,Grace Rossi
TXN000130,9000010018,2026-04-19,CHEQUE,7657.74,Grace Rossi
TXN000137,9000010018,2026-05-19,CHEQUE,12203.24,Harbor Trading Co
TXN000136,9000010018,2026-06-09,CHEQUE,9923.44,Grace Rossi
TXN000134,9000010018,2026-06-12,CHEQUE,12811.51,Grace Rossi
TXN000129,9000010018,2026-06-14,CHEQUE,11798.71,Harbor Trading Co
TXN000132,9000010018,2026-06-14,CHEQUE,11720.16,Cedar Imports
TXN000128,9000010018,2026-06-20,CHEQUE,9040.53,Cedar Imports
TXN000126,9000010018,2026-06-25,CHEQUE,9754.53,Cedar Imports
TXN000133,9000010018,2026-06-25,CHEQUE,10490.39,Harbor Trading Co
TXN000135,9000010018,2026-07-04,CHEQUE,9177.03,Grace Rossi
TXN000131,9000010018,2026-07-07,CHEQUE,8653.82,Cedar Imports
TXN000125,9000010018,2026-07-12,CHEQUE,12429.38,Harbor Trading Co
TXN000138,9000010019,2026-06-09,CHEQUE,16689.04,Maple Supplies
TXN000145,9000010020,2026-03-29,CHEQUE,16065.35,Sofia Ahmed
TXN000143,9000010020,2026-04-15,CHEQUE,14463.86,Sofia Ahmed
TXN000139,9000010020,2026-04-25,CHEQUE,13282.47,Sofia Ahmed
TXN000140,9000010020,2026-05-02,CHEQUE,13276.59,Dara Reyes
TXN000149,9000010020,2026-05-12,CHEQUE,13968.44,Sofia Ahmed
TXN000151,9000010020,2026-05-28,CHEQUE,10649.3,Sofia Ahmed
TXN000144,9000010020,2026-05-30,CHEQUE,14264.43,Willow Traders
TXN000146,9000010020,2026-05-30,CHEQUE,10143.08,Sofia Ahmed
TXN000142,9000010020,2026-07-15,CHEQUE,11222.68,Willow Traders
TXN000147,9000010020,2026-07-18,CHEQUE,11056.88,Willow Traders
TXN000150,9000010020,2026-07-21,CHEQUE,14044.04,Sofia Ahmed
TXN000148,9000010020,2026-08-13,CHEQUE,14801.27,Dara Reyes
TXN000141,9000010020,2026-08-15,CHEQUE,9669.61,Sofia Ahmed
TXN000155,9000010021,2026-03-28,CHEQUE,7266.14,Maple Supplies
TXN000153,9000010021,2026-04-12,CHEQUE,5088.35,Maple Supplies
TXN000156,9000010021,2026-04-15,CHEQUE,7871.86,Nora Silva
TXN000162,9000010021,2026-04-27,CHEQUE,5384.36,Willow Holdings
TXN000164,9000010021,2026-05-09,CHEQUE,8852.73,Nora Silva
TXN000158,9000010021,2026-05-16,CHEQUE,7952.75,Nora Silva
TXN000159,9000010021,2026-05-22,CHEQUE,5958.82,Nora Silva
TXN000161,9000010021,2026-05-25,CHEQUE,7912.71,Willow Holdings
TXN000160,9000010021,2026-05-26,CHEQUE,5058.75,Nora Silva
TXN000163,9000010021,2026-06-06,CHEQUE,8778.06,Maple Supplies
TXN000157,9000010021,2026-06-13,CHEQUE,7759.86,Nora Silva
TXN000154,9000010021,2026-08-07,CHEQUE,6568.24,Maple Supplies
TXN000152,9000010021,2026-08-16,CHEQUE,8286.24,Willow Holdings
TXN000173,9000010022,2026-04-03,CHEQUE,6678.42,Fatima Petrov
TXN000169,9000010022,2026-04-11,CHEQUE,6291.87,Kwame Silva
TXN000168,9000010022,2026-04-23,CHEQUE,7285.29,Fatima Petrov
TXN000170,9000010022,2026-05-11,CHEQUE,6880.4,Sanjay Garcia
TXN000171,9000010022,2026-05-15,CHEQUE,7069.61,Sanjay Garcia
TXN000166,9000010022,2026-06-19,CHEQUE,6852.91,Fatima Petrov
TXN000172,9000010022,2026-07-07,CHEQUE,6904.42,Fatima Petrov
TXN000167,9000010022,2026-08-09,CHEQUE,7060.3,Kwame Silva
TXN000165,9000010022,2026-08-12,CHEQUE,10179.0,Sanjay Garcia
TXN000180,9000010023,2026-03-28,CHEQUE,6458.73,Kwame Silva
TXN000178,9000010023,2026-04-02,CHEQUE,9174.98,Kwame Silva
TXN000177,9000010023,2026-04-30,CHEQUE,7478.73,Kwame Johnson
TXN000176,9000010023,2026-06-06,CHEQUE,5314.39,Harbor Services
TXN000174,9000010023,2026-07-28,CHEQUE,7833.99,Kwame Silva
TXN000175,9000010023,2026-07-28,CHEQUE,8756.85,Kwame Johnson
TXN000179,9000010023,2026-08-07,CHEQUE,9293.32,Kwame Johnson
TXN000186,9000010024,2026-03-29,CHEQUE,18618.18,Ironwood Holdings
TXN000185,9000010024,2026-04-16,CHEQUE,21545.06,Ironwood Holdings
TXN000183,9000010024,2026-04-21,CHEQUE,20601.78,Ironwood Holdings
TXN000182,9000010024,2026-04-26,CHEQUE,17049.45,Kwame Johnson
TXN000184,9000010024,2026-05-02,CHEQUE,16577.25,Kwame Silva
TXN000181,9000010024,2026-07-27,CHEQUE,12369.8,Kwame Johnson
TXN000188,9000010025,2026-04-16,CHEQUE,7666.14,Ingrid Reyes
TXN000191,9000010025,2026-04-18,CHEQUE,5635.49,Nora Silva
TXN000187,9000010025,2026-05-03,CHEQUE,5386.66,Ingrid Reyes
TXN000189,9000010025,2026-06-04,CHEQUE,8487.12,Willow Holdings
TXN000196,9000010025,2026-06-15,CHEQUE,8509.74,Nora Silva
TXN000192,9000010025,2026-07-13,CHEQUE,6316.49,Ingrid Reyes
TXN000190,9000010025,2026-07-26,CHEQUE,5528.4,Ingrid Reyes
TXN000194,9000010025,2026-07-28,CHEQUE,8449.85,Ingrid Reyes
TXN000195,9000010025,2026-07-28,CHEQUE,6375.33,Willow Holdings
TXN000193,9000010025,2026-08-13,CHEQUE,4730.33,Ingrid Reyes
TXN000198,9000010026,2026-04-03,CHEQUE,4223.42,Foundry Supplies
TXN000200,9000010026,2026-04-12,CHEQUE,5050.09,Ironwood Holdings
TXN000197,9000010026,2026-04-18,CHEQUE,6708.11,Foundry Supplies
TXN000204,9000010026,2026-04-27,CHEQUE,3855.86,Fatima Petrov
TXN000201,9000010026,2026-04-29,CHEQUE,4493.81,Foundry Supplies
TXN000202,9000010026,2026-06-08,CHEQUE,5167.96,Foundry Supplies
TXN000203,9000010026,2026-06-29,CHEQUE,5578.03,Ironwood Holdings
TXN000199,9000010026,2026-07-22,CHEQUE,5427.93,Fatima Petrov
TXN000206,9000010026,2026-07-22,CHEQUE,4004.33,Foundry Supplies
TXN000205,9000010026,2026-08-04,CHEQUE,4078.2,Fatima Petrov
TXN000208,9000010026,2026-08-18,CHEQUE,5004.09,Ironwood Holdings
TXN000207,9000010026,2026-08-19,CHEQUE,5927.47,Foundry Supplies
TXN000210,9000010027,2026-03-28,CHEQUE,20517.28,Harbor Trading Co
TXN000209,9000010027,2026-06-27,CHEQUE,16731.79,Foundry Systems
TXN000211,9000010027,2026-08-11,CHEQUE,12132.01,Foundry Systems
TXN000217,9000010028,2026-04-30,CHEQUE,10542.4,Dara Reyes
TXN000215,9000010028,2026-05-22,CHEQUE,10455.25,Willow Holdings
TXN000218,9000010028,2026-07-23,CHEQUE,7510.06,Willow Holdings
TXN000213,9000010028,2026-07-29,CHEQUE,11480.29,Willow Holdings
TXN000212,9000010028,2026-08-06,CHEQUE,9707.41,Dara Reyes
TXN000216,9000010028,2026-08-08,CHEQUE,7457.14,Ironwood Holdings
TXN000214,9000010028,2026-08-19,CHEQUE,12224.14,Ironwood Holdings
TXN000226,9000010029,2026-03-27,CHEQUE,14250.11,Nora Silva
TXN000225,9000010029,2026-04-17,CHEQUE,11086.15,Nora Silva
TXN000220,9000010029,2026-04-27,CHEQUE,10090.85,Nora Silva
TXN000222,9000010029,2026-05-13,CHEQUE,14195.04,Foundry Systems
TXN000223,9000010029,2026-05-13,CHEQUE,11894.76,Foundry Systems
TXN000224,9000010029,2026-05-16,CHEQUE,10800.01,Foundry Systems
TXN000227,9000010029,2026-05-29,CHEQUE,9788.87,Willow Systems
TXN000228,9000010029,2026-06-01,CHEQUE,12890.1,Foundry Systems
TXN000219,9000010029,2026-06-05,CHEQUE,10535.69,Foundry Systems
TXN000221,9000010029,2026-07-19,CHEQUE,10000.75,Foundry Systems
TXN000229,9000010030,2026-04-18,CHEQUE,6213.58,Ironwood Holdings
TXN000234,9000010030,2026-05-04,CHEQUE,5298.07,Harbor Trading Co
TXN000230,9000010030,2026-05-08,CHEQUE,6599.97,Foundry Supplies
TXN000232,9000010030,2026-05-12,CHEQUE,4824.5,Foundry Supplies
TXN000231,9000010030,2026-08-01,CHEQUE,6448.79,Harbor Trading Co
TXN000233,9000010030,2026-08-13,CHEQUE,5748.67,Harbor Trading Co
TXN000235,9000010031,2026-06-13,CHEQUE,13076.12,Willow Holdings
TXN000238,9000010032,2026-04-29,CHEQUE,15119.75,Maple Supplies
TXN000243,9000010032,2026-05-06,CHEQUE,16729.04,Maple Supplies
TXN000236,9000010032,2026-06-04,CHEQUE,16445.85,Maple Supplies
TXN000244,9000010032,2026-06-11,CHEQUE,14687.44,Ironwood Holdings
TXN000237,9000010032,2026-06-26,CHEQUE,15961.96,Harbor Trading Co
TXN000242,9000010032,2026-07-07,CHEQUE,16883.81,Harbor Trading Co
TXN000241,9000010032,2026-07-08,CHEQUE,12907.49,Harbor Trading Co
TXN000240,9000010032,2026-07-11,CHEQUE,17186.07,Harbor Trading Co
TXN000245,9000010032,2026-08-08,CHEQUE,9618.51,Ironwood Holdings
TXN000239,9000010032,2026-08-17,CHEQUE,9904.74,Maple Supplies
TXN000246,9000010033,2026-08-12,CHEQUE,13123.6,Kwame Silva
TXN000247,9000010033,2026-08-18,CHEQUE,11702.36,Foundry Supplies
TXN000248,9000010034,2026-06-10,CHEQUE,11983.1,Harbor Services
TXN000252,9000010035,2026-03-26,CHEQUE,14266.64,Beacon Partners
TXN000250,9000010035,2026-03-31,CHEQUE,18262.91,Beacon Partners
TXN000255,9000010035,2026-05-06,CHEQUE,13862.5,Maple Supplies
TXN000253,9000010035,2026-05-21,CHEQUE,16229.92,Maple Supplies
TXN000259,9000010035,2026-05-28,CHEQUE,15006.56,Beacon Partners
TXN000258,9000010035,2026-06-05,CHEQUE,21923.49,Beacon Partners
TXN000257,9000010035,2026-06-13,CHEQUE,12452.17,Maple Supplies
TXN000260,9000010035,2026-06-20,CHEQUE,18173.18,Beacon Partners
TXN000261,9000010035,2026-06-21,CHEQUE,15715.99,Bluepeak Distributors
TXN000249,9000010035,2026-06-26,CHEQUE,15572.42,Bluepeak Distributors
TXN000254,9000010035,2026-07-08,CHEQUE,20649.94,Maple Supplies
TXN000256,9000010035,2026-07-10,CHEQUE,15834.72,Beacon Partners
TXN000251,9000010035,2026-08-20,CHEQUE,16907.14,Beacon Partners
TXN000262,9000010036,2026-04-15,CHEQUE,8210.21,Ironwood Holdings
TXN000263,9000010037,2026-05-21,CHEQUE,10470.12,Omar Novak
TXN000265,9000010038,2026-08-10,CHEQUE,19442.77,Sanjay Garcia
TXN000264,9000010038,2026-08-15,CHEQUE,22448.95,Sanjay Garcia
TXN000266,9000010043,2026-08-10,CHEQUE,9934.42,Sanjay Garcia
