cheque_id,account_number,cheque_number,payee_name,amount,cheque_date,image_hash,perceptual_hash,processing_status,processed_at
PROC-000093,9000010013,,Summit Supplies,5318.03,2026-07-22,,,PAID,2026-07-22
PROC-000094,9000010013,,Harbor Services,5788.36,2026-08-06,,,PAID,2026-08-06
PROC-000095,9000010014,,Diego Okafor,10761.83,2026-04-01,,,PAID,2026-04-01
PROC-000096,9000010014,,Willow Holdings,10294.92,2026-04-06,,,PAID,2026-04-06
PROC-000097,9000010014,,Willow Holdings,11335.0,2026-04-10,,,PAID,2026-04-10
PROC-000098,9000010014,,Diego Okafor,9443.5,2026-04-12,,,PAID,2026-04-12
PROC-000099,9000010014,,Sofia Ahmed,13839.42,2026-06-06,,,PAID,2026-06-06
PROC-000100,9000010014,,Willow Holdings,15100.26,2026-06-12,,,PAID,2026-06-12
PROC-000101,9000010014,,Willow Holdings,11286.74,2026-06-20,,,PAID,2026-06-20
PROC-000102,9000010014,,Diego Okafor,11264.69,2026-06-23,,,PAID,2026-06-23
PROC-000103,9000010015,,Sanjay Garcia,10569.18,2026-04-08,,,PAID,2026-04-08
PROC-000104,9000010015,,Sanjay Garcia,14407.69,2026-06-17,,,PAID,2026-06-17
PROC-000105,9000010015,,Sanjay Garcia,12079.88,2026-06-21,,,PAID,2026-06-21
PROC-000106,9000010015,,Sanjay Garcia,14361.81,2026-06-29,,,PAID,2026-06-29
PROC-000107,9000010015,,Kwame Johnson,10511.66,2026-07-01,,,PAID,2026-07-01
PROC-000108,9000010015,,Willow Traders,14023.11,2026-07-09,,,PAID,2026-07-09
PROC-000109,9000010015,,Kwame Johnson,11892.55,2026-07-10,,,PAID,2026-07-10
PROC-000110,9000010016,,Willow Traders,17008.85,2026-03-31,,,PAID,2026-03-31
PROC-000111,9000010016,,Willow Traders,16795.42,2026-04-30,,,PAID,2026-04-30
PROC-000112,9000010016,,Cedar Imports,14566.27,2026-05-22,,,PAID,2026-05-22
PROC-000113,9000010016,,Cedar Imports,13312.86,2026-06-13,,,PAID,2026-06-13
PROC-000114,9000010016,,Willow Traders,20262.39,2026-06-19,,,PAID,2026-06-19
PROC-000115,9000010016,,Cedar Imports,14127.06,2026-06-29,,,PAID,2026-06-29
PROC-000116,9000010016,,Willow Traders,17536.39,2026-07-29,,,PAID,2026-07-29
PROC-000117,9000010017,,Willow Holdings,16673.47,2026-04-14,,,PAID,2026-04-14
PROC-000118,9000010017,,Willow Holdings,19531.52,2026-05-03,,,PAID,2026-05-03
PROC-000119,9000010017,,Dara Reyes,13744.22,2026-06-11,,,PAID,2026-06-11
PROC-000120,9000010017,,Dara Reyes,16687.37,2026-06-19,,,PAID,2026-06-19
PROC-000121,9000010017,,Dara Reyes,20291.21,2026-06-20,,,PAID,2026-06-20
PROC-000122,9000010017,,Dara Reyes,15777.91,2026-07-09,,,PAID,2026-07-09
PROC-000123,9000010017,,Dara Reyes,13376.88,2026-07-10,,,PAID,2026-07-10
PROC-000124,9000010017,,Willow Traders,21706.67,2026-08-05,,,PAID,2026-08-05
PROC-000125,9000010018,,Grace Rossi,7652.93,2026-04-05,,,PAID,2026-04-05
PROC-000126,9000010018,,Grace Rossi,7657.74,2026-04-19,,,PAID,2026-04-19
PROC-000127,9000010018,,Harbor Trading Co,12203.24,2026-05-19,,,PAID,2026-05-19
PROC-000128,9000010018,,Grace Rossi,9923.44,2026-06-09,,,PAID,2026-06-09
PROC-000129,9000010018,,Grace Rossi,12811.51,2026-06-12,,,PAID,2026-06-12
PROC-000130,9000010018,,Harbor Trading Co,11798.71,2026-06-14,,,PAID,2026-06-14
PROC-000131,9000010018,,Cedar Imports,11720.16,2026-06-14,,,PAID,2026-06-14
PROC-000132,9000010018,,Cedar Imports,9040.53,2026-06-20,,,PAID,2026-06-20
PROC-000133,9000010018,,Cedar Imports,9754.53,2026-06-25,,,PAID,2026-06-25
PROC-000134,9000010018,,Harbor Trading Co,10490.39,2026-06-25,,,PAID,2026-06-25
PROC-000135,9000010018,,Grace Rossi,9177.03,2026-07-04,,,PAID,2026-07-04
PROC-000136,9000010018,,Cedar Imports,8653.82,2026-07-07,,,PAID,2026-07-07
PROC-000137,9000010018,,Harbor Trading Co,12429.38,2026-07-12,,,PAID,2026-07-12
PROC-000138,9000010019,,Maple Supplies,16689.04,2026-06-09,,,PAID,2026-06-09
PROC-000139,9000010020,,Sofia Ahmed,16065.35,2026-03-29,,,PAID,2026-03-29
PROC-000140,9000010020,,Sofia Ahmed,14463.86,2026-04-15,,,PAID,2026-04-15
PROC-000141,9000010020,,Sofia Ahmed,13282.47,2026-04-25,,,PAID,2026-04-25
PROC-000142,9000010020,,Dara Reyes,13276.59,2026-05-02,,,PAID,2026-05-02
PROC-000143,9000010020,,Sofia Ahmed,13968.44,2026-05-12,,,PAID,2026-05-12
PROC-000144,9000010020,,Sofia Ahmed,10649.3,2026-05-28,,,PAID,2026-05-28
PROC-000145,9000010020,,Willow Traders,14264.43,2026-05-30,,,PAID,2026-05-30
PROC-000146,9000010020,,Sofia Ahmed,10143.08,2026-05-30,,,PAID,2026-05-30
PROC-000147,9000010020,,Willow Traders,11222.68,2026-07-15,,,PAID,2026-07-15
PROC-000148,9000010020,,Willow Traders,11056.88,2026-07-18,,,PAID,2026-07-18
PROC-000149,9000010020,,Sofia Ahmed,14044.04,2026-07-21,,,PAID,2026-07-21
PROC-000150,9000010020,,Dara Reyes,14801.27,2026-08-13,,,PAID,2026-08-13
PROC-000151,9000010020,,Sofia Ahmed,9669.61,2026-08-15,,,PAID,2026-08-15
PROC-000152,9000010021,,Maple Supplies,7266.14,2026-03-28,,,PAID,2026-03-28
PROC-000153,9000010021,,Maple Supplies,5088.35,2026-04-12,,,PAID,2026-04-12
PROC-000154,9000010021,,Nora Silva,7871.86,2026-04-15,,,PAID,2026-04-15
PROC-000155,9000010021,,Willow Holdings,5384.36,2026-04-27,,,PAID,2026-04-27
PROC-000156,9000010021,,Nora Silva,8852.73,2026-05-09,,,PAID,2026-05-09
PROC-000157,9000010021,,Nora Silva,7952.75,2026-05-16,,,PAID,2026-05-16
PROC-000158,9000010021,,Nora Silva,5958.82,2026-05-22,,,PAID,2026-05-22
PROC-000159,9000010021,,Willow Holdings,7912.71,2026-05-25,,,PAID,2026-05-25
PROC-000160,9000010021,,Nora Silva,5058.75,2026-05-26,,,PAID,2026-05-26
PROC-000161,9000010021,,Maple Supplies,8778.06,2026-06-06,,,PAID,2026-06-06
PROC-000162,9000010021,,Nora Silva,7759.86,2026-06-13,,,PAID,2026-06-13
PROC-000163,9000010021,,Maple Supplies,6568.24,2026-08-07,,,PAID,2026-08-07
PROC-000164,9000010021,,Willow Holdings,8286.24,2026-08-16,,,PAID,2026-08-16
PROC-000165,9000010022,,Fatima Petrov,6678.42,2026-04-03,,,PAID,2026-04-03
PROC-000166,9000010022,,Kwame Silva,6291.87,2026-04-11,,,PAID,2026-04-11
PROC-000167,9000010022,,Fatima Petrov,7285.29,2026-04-23,,,PAID,2026-04-23
PROC-000168,9000010022,,Sanjay Garcia,6880.4,2026-05-11,,,PAID,2026-05-11
PROC-000169,9000010022,,Sanjay Garcia,7069.61,2026-05-15,,,PAID,2026-05-15
PROC-000170,9000010022,,Fatima Petrov,6852.91,2026-06-19,,,PAID,2026-06-19
PROC-000171,9000010022,,Fatima Petrov,6904.42,2026-07-07,,,PAID,2026-07-07
PROC-000172,9000010022,,Kwame Silva,7060.3,2026-08-09,,,PAID,2026-08-09
PROC-000173,9000010022,,Sanjay Garcia,10179.0,2026-08-12,,,PAID,2026-08-12
PROC-000174,9000010023,,Kwame Silva,6458.73,2026-03-28,,,PAID,2026-03-28
PROC-000175,9000010023,,Kwame Silva,9174.98,2026-04-02,,,PAID,2026-04-02
PROC-000176,9000010023,,Kwame Johnson,7478.73,2026-04-30,,,PAID,2026-04-30
PROC-000177,9000010023,,Harbor Services,5314.39,2026-06-06,,,PAID,2026-06-06
PROC-000178,9000010023,,Kwame Silva,7833.99,2026-07-28,,,PAID,2026-07-28
PROC-000179,9000010023,,Kwame Johnson,8756.85,2026-07-28,,,PAID,2026-07-28
PROC-000180,9000010023,,Kwame Johnson,9293.32,2026-08-07,,,PAID,2026-08-07
PROC-000181,9000010024,,Ironwood Holdings,18618.18,2026-03-29,,,PAID,2026-03-29
PROC-000182,9000010024,,Ironwood Holdings,21545.06,2026-04-16,,,PAID,2026-04-16
PROC-000183,9000010024,,Ironwood Holdings,20601.78,2026-04-21,,,PAID,2026-04-21
PROC-000184,9000010024,,Kwame Johnson,17049.45,2026-04-26,,,PAID,2026-04-26
PROC-000185,9000010024,,Kwame Silva,16577.25,2026-05-02,,,PAID,2026-05-02
PROC-000186,9000010024,,Kwame Johnson,12369.8,2026-07-27,,,PAID,2026-07-27
PROC-000187,9000010025,,Ingrid Reyes,7666.14,2026-04-16,,,PAID,2026-04-16
PROC-000188,9000010025,,Nora Silva,5635.49,2026-04-18,,,PAID,2026-04-18
PROC-000189,9000010025,,Ingrid Reyes,5386.66,2026-05-03,,,PAID,2026-05-03
PROC-000190,9000010025,,Willow Holdings,8487.12,2026-06-04,,,PAID,2026-06-04
PROC-000191,9000010025,,Nora Silva,8509.74,2026-06-15,,,PAID,2026-06-15
PROC-000192,9000010025,,Ingrid Reyes,6316.49,2026-07-13,,,PAID,2026-07-13
PROC-000193,9000010025,,Ingrid Reyes,5528.4,2026-07-26,,,PAID,2026-07-26
PROC-000194,9000010025,,Ingrid Reyes,8449.85,2026-07-28,,,PAID,2026-07-28
PROC-000195,9000010025,,Willow Holdings,6375.33,2026-07-28,,,PAID,2026-07-28
PROC-000196,9000010025,,Ingrid Reyes,4730.33,2026-08-13,,,PAID,2026-08-13
PROC-000197,9000010026,,Foundry Supplies,4223.42,2026-04-03,,,PAID,2026-04-03
PROC-000198,9000010026,,Ironwood Holdings,5050.09,2026-04-12,,,PAID,2026-04-12
PROC-000199,9000010026,,Foundry Supplies,6708.11,2026-04-18,,,PAID,2026-04-18
PROC-000200,9000010026,,Fatima Petrov,3855.86,2026-04-27,,,PAID,2026-04-27
PROC-000201,9000010026,,Foundry Supplies,4493.81,2026-04-29,,,PAID,2026-04-29
PROC-000202,9000010026,,Foundry Supplies,5167.96,2026-06-08,,,PAID,2026-06-08
PROC-000203,9000010026,,Ironwood Holdings,5578.03,2026-06-29,,,PAID,2026-06-29
PROC-000204,9000010026,,Fatima Petrov,5427.93,2026-07-22,,,PAID,2026-07-22
PROC-000205,9000010026,,Foundry Supplies,4004.33,2026-07-22,,,PAID,2026-07-22
PROC-000206,9000010026,,Fatima Petrov,4078.2,2026-08-04,,,PAID,2026-08-04
PROC-000207,9000010026,,Ironwood Holdings,5004.09,2026-08-18,,,PAID,2026-08-18
PROC-000208,9000010026,,Foundry Supplies,5927.47,2026-08-19,,,PAID,2026-08-19
PROC-000209,9000010027,,Harbor Trading Co,20517.28,2026-03-28,,,PAID,2026-03-28
PROC-000210,9000010027,,Foundry Systems,16731.79,2026-06-27,,,PAID,2026-06-27
PROC-000211,9000010027,,Foundry Systems,12132.01,2026-08-11,,,PAID,2026-08-11
PROC-000212,9000010028,,Dara Reyes,10542.4,2026-04-30,,,PAID,2026-04-30
PROC-000213,9000010028,,Willow Holdings,10455.25,2026-05-22,,,PAID,2026-05-22
PROC-000214,9000010028,,Willow Holdings,7510.06,2026-07-23,,,PAID,2026-07-23
PROC-000215,9000010028,,Willow Holdings,11480.29,2026-07-29,,,PAID,2026-07-29
PROC-000216,9000010028,,Dara Reyes,9707.41,2026-08-06,,,PAID,2026-08-06
PROC-000217,9000010028,,Ironwood Holdings,7457.14,2026-08-08,,,PAID,2026-08-08
PROC-000218,9000010028,,Ironwood Holdings,12224.14,2026-08-19,,,PAID,2026-08-19
PROC-000219,9000010029,,Nora Silva,14250.11,2026-03-27,,,PAID,2026-03-27
PROC-000220,9000010029,,Nora Silva,11086.15,2026-04-17,,,PAID,2026-04-17
PROC-000221,9000010029,,Nora Silva,10090.85,2026-04-27,,,PAID,2026-04-27
PROC-000222,9000010029,,Foundry Systems,14195.04,2026-05-13,,,PAID,2026-05-13
PROC-000223,9000010029,,Foundry Systems,11894.76,2026-05-13,,,PAID,2026-05-13
PROC-000224,9000010029,,Foundry Systems,10800.01,2026-05-16,,,PAID,2026-05-16
PROC-000225,9000010029,,Willow Systems,9788.87,2026-05-29,,,PAID,2026-05-29
PROC-000226,9000010029,,Foundry Systems,12890.1,2026-06-01,,,PAID,2026-06-01
PROC-000227,9000010029,,Foundry Systems,10535.69,2026-06-05,,,PAID,2026-06-05
PROC-000228,9000010029,,Foundry Systems,10000.75,2026-07-19,,,PAID,2026-07-19
PROC-000229,9000010030,,Ironwood Holdings,6213.58,2026-04-18,,,PAID,2026-04-18
PROC-000230,9000010030,,Harbor Trading Co,5298.07,2026-05-04,,,PAID,2026-05-04
PROC-000231,9000010030,,Foundry Supplies,6599.97,2026-05-08,,,PAID,2026-05-08
PROC-000232,9000010030,,Foundry Supplies,4824.5,2026-05-12,,,PAID,2026-05-12
PROC-000233,9000010030,,Harbor Trading Co,6448.79,2026-08-01,,,PAID,2026-08-01
PROC-000234,9000010030,,Harbor Trading Co,5748.67,2026-08-13,,,PAID,2026-08-13
PROC-000235,9000010031,,Willow Holdings,13076.12,2026-06-13,,,PAID,2026-06-13
PROC-000236,9000010032,,Maple Supplies,15119.75,2026-04-29,,,PAID,2026-04-29
PROC-000237,9000010032,,Maple Supplies,16729.04,2026-05-06,,,PAID,2026-05-06
PROC-000238,9000010032,,Maple Supplies,16445.85,2026-06-04,,,PAID,2026-06-04
PROC-000239,9000010032,,Ironwood Holdings,14687.44,2026-06-11,,,PAID,2026-06-11
PROC-000240,9000010032,,Harbor Trading Co,15961.96,2026-06-26,,,PAID,2026-06-26
PROC-000241,9000010032,,Harbor Trading Co,16883.81,2026-07-07,,,PAID,2026-07-07
PROC-000242,9000010032,,Harbor Trading Co,12907.49,2026-07-08,,,PAID,2026-07-08
PROC-000243,9000010032,,Harbor Trading Co,17186.07,2026-07-11,,,PAID,2026-07-11
PROC-000244,9000010032,,Ironwood Holdings,9618.51,2026-08-08,,,PAID,2026-08-08
PROC-000245,9000010032,,Maple Supplies,9904.74,2026-08-17,,,PAID,2026-08-17
PROC-000246,9000010033,,Kwame Silva,13123.6,2026-08-12,,,PAID,2026-08-12
PROC-000247,9000010033,,Foundry Supplies,11702.36,2026-08-18,,,PAID,2026-08-18
PROC-000248,9000010034,,Harbor Services,11983.1,2026-06-10,,,PAID,2026-06-10
PROC-000249,9000010035,,Beacon Partners,14266.64,2026-03-26,,,PAID,2026-03-26
PROC-000250,9000010035,,Beacon Partners,18262.91,2026-03-31,,,PAID,2026-03-31
PROC-000251,9000010035,,Maple Supplies,13862.5,2026-05-06,,,PAID,2026-05-06
PROC-000252,9000010035,,Maple Supplies,16229.92,2026-05-21,,,PAID,2026-05-21
PROC-000253,9000010035,,Beacon Partners,15006.56,2026-05-28,,,PAID,2026-05-28
PROC-000254,9000010035,,Beacon Partners,21923.49,2026-06-05,,,PAID,2026-06-05
PROC-000255,9000010035,,Maple Supplies,12452.17,2026-06-13,,,PAID,2026-06-13
PROC-000256,9000010035,,Beacon Partners,18173.18,2026-06-20,,,PAID,2026-06-20
PROC-000257,9000010035,,Bluepeak Distributors,15715.99,2026-06-21,,,PAID,2026-06-21
PROC-000258,9000010035,,Bluepeak Distributors,15572.42,2026-06-26,,,PAID,2026-06-26
PROC-000259,9000010035,,Maple Supplies,20649.94,2026-07-08,,,PAID,2026-07-08
PROC-000260,9000010035,,Beacon Partners,15834.72,2026-07-10,,,PAID,2026-07-10
PROC-000261,9000010035,,Beacon Partners,16907.14,2026-08-20,,,PAID,2026-08-20
PROC-000262,9000010036,,Ironwood Holdings,8210.21,2026-04-15,,,PAID,2026-04-15
PROC-000263,9000010037,,Omar Novak,10470.12,2026-05-21,,,PAID,2026-05-21
PROC-000264,9000010038,,Sanjay Garcia,19442.77,2026-08-10,,,PAID,2026-08-10
PROC-000265,9000010038,,Sanjay Garcia,22448.95,2026-08-15,,,PAID,2026-08-15
PROC-000266,9000010043,,Sanjay Garcia,9934.42,2026-08-10,,,PAID,2026-08-10
CHK-2026-000009,9000010022,002223,Ingrid Reyes,20961.63,2026-08-03,df9265ea0dd81388e465106fcfead59702234f5a626c2abaf700728e697b801c,387d7f7f1f3f3b08,PAID,2026-08-03
CHK-2026-000011,9000010028,002824,Ingrid Reyes,11223.03,2026-07-29,8413b35592a1354a0d7d83fa61bcf3d804fda1d39f960b51afd64ef7c595a7db,387d7f7f1f3f3b08,PAID,2026-07-29
CHK-2026-000013,9000010026,002616,Dara Reyes,13369.05,2026-08-12,654654a1c15b5be97aa39b90f1d654905fe61583779068bb14000b7026b0ab3c,387d7f7f1f3f3b08,PAID,2026-08-12
CHK-2026-000015,9000010017,001735,Sanjay Garcia,21053.64,2026-08-13,57cf5403df678500f8a53e4951e7c9df9661762b643ba82d49d0ec8cac9c8bb7,387d7f7f1f3b3b08,PAID,2026-08-13
CHK-2026-000017,9000010030,003008,Omar Novak,15942.32,2026-07-24,5f025aceb43107a1a29993a3c5a6bbc90c7e324cf78e0dbb3f44e6e84700284d,387d7f7f1f3f3b08,PAID,2026-07-24
CHK-2026-000019,9000010008,000801,Harbor Services,8203.35,2026-07-30,bcc36ea3ddc9a325444bd31c300e04e70ef069849e9906b3a0f94e3f34321a6b,387d3f7f1f3f3b08,PAID,2026-07-30
CHK-2026-000021,9000010004,000419,Harbor Services,18535.5,2026-08-07,8b6510f736fd82c46b0bdc1649e9e1c38c0537e6f043098ae65f614f8b804899,387f3f7f1f3b390a,PAID,2026-08-07
CHK-2026-000023,9000010013,001340,Grace Rossi,4215.49,2026-08-10,2670dd8dcbdc0f28e95741361b9a6008a070cbafd02dac2c829682a9024c2b9c,387d7f7f1f3f3b08,PAID,2026-08-10
